
# BEST (mask_ratio(0.5) embedding initialize, head_petition, shuffle=True)
TrainLoss : 6.56621, Train_NSPAcc: 65.14%, Train_MLMAcc: 5.51%, ValidLoss : 7.635, ValidNspAcc : 54.22%, Valid_MLMAcc: 12.34%
TrainLoss : 6.52646, Train_NSPAcc: 65.53%, Train_MLMAcc: 5.66%, ValidLoss : 7.695, ValidNspAcc : 50.89%, Valid_MLMAcc: 12.31%
TrainLoss : 6.53692, Train_NSPAcc: 61.52%, Train_MLMAcc: 5.50%, ValidLoss : 7.561, ValidNspAcc : 52.47%, Valid_MLMAcc: 12.43%
TrainLoss : 6.42770, Train_NSPAcc: 64.45%, Train_MLMAcc: 5.91%, ValidLoss : 7.640, ValidNspAcc : 54.71%, Valid_MLMAcc: 12.61%
TrainLoss : 6.34272, Train_NSPAcc: 69.53%, Train_MLMAcc: 5.92%, ValidLoss : 7.850, ValidNspAcc : 52.71%, Valid_MLMAcc: 12.76%
TrainLoss : 6.29384, Train_NSPAcc: 69.53%, Train_MLMAcc: 5.98%, ValidLoss : 7.607, ValidNspAcc : 53.05%, Valid_MLMAcc: 13.65%
TrainLoss : 6.17318, Train_NSPAcc: 74.22%, Train_MLMAcc: 6.14%, ValidLoss : 7.967, ValidNspAcc : 51.89%, Valid_MLMAcc: 13.02%
TrainLoss : 6.20028, Train_NSPAcc: 72.75%, Train_MLMAcc: 6.41%, ValidLoss : 7.813, ValidNspAcc : 53.06%, Valid_MLMAcc: 13.66%
TrainLoss : 6.15434, Train_NSPAcc: 74.51%, Train_MLMAcc: 6.12%, ValidLoss : 7.624, ValidNspAcc : 51.88%, Valid_MLMAcc: 14.20%
TrainLoss : 6.09206, Train_NSPAcc: 72.36%, Train_MLMAcc: 6.48%, ValidLoss : 8.251, ValidNspAcc : 50.47%, Valid_MLMAcc: 14.07%
TrainLoss : 6.11446, Train_NSPAcc: 71.58%, Train_MLMAcc: 6.42%, ValidLoss : 7.859, ValidNspAcc : 53.59%, Valid_MLMAcc: 14.28%
TrainLoss : 5.95557, Train_NSPAcc: 77.25%, Train_MLMAcc: 6.68%, ValidLoss : 8.171, ValidNspAcc : 49.53%, Valid_MLMAcc: 15.02%
TrainLoss : 5.94634, Train_NSPAcc: 77.44%, Train_MLMAcc: 6.67%, ValidLoss : 8.039, ValidNspAcc : 50.75%, Valid_MLMAcc: 14.84%
TrainLoss : 5.91012, Train_NSPAcc: 77.34%, Train_MLMAcc: 6.82%, ValidLoss : 7.822, ValidNspAcc : 53.60%, Valid_MLMAcc: 14.96%
TrainLoss : 5.84685, Train_NSPAcc: 81.05%, Train_MLMAcc: 6.81%, ValidLoss : 7.978, ValidNspAcc : 53.11%, Valid_MLMAcc: 15.17%
